Date,HPBH:221F003_Optimized,HPBH:221F011_Optimized,HPBH:221U829_Optimized,Success
2022-01-24 01:00:00,1905.431870155403,100.59758342666665,0.0,True
2022-01-24 01:30:00,1970.8539493617166,102.24383707999999,0.0,True
2022-01-24 02:00:00,1930.3109320006797,99.86169064666662,0.0,True
2022-01-24 02:30:00,1916.3116768353666,97.89398425333331,0.0,True
2022-01-24 03:30:00,1961.1779769689579,96.58165547333336,0.0,True
2022-01-24 04:00:00,1906.6821564253003,99.53350400000001,0.0,True
2022-01-24 04:30:00,1919.232218724318,95.66836799333335,0.0,True
2022-01-24 05:00:00,1923.1987723339728,90.67994455333336,0.0,True
2022-01-24 05:30:00,1910.2763598102138,94.33567147407408,0.0,True
2022-01-24 06:00:00,1980.58129254175,100.97994344827585,0.0,True
2022-01-24 07:00:00,1940.4947501415859,100.35003662068968,0.0,True
2022-01-24 09:30:00,1969.2989869327264,99.69000246153843,0.0,True
2022-01-24 10:00:00,1972.3586532200934,99.97835303448274,0.0,True
2022-01-24 10:30:00,1931.7177279737064,99.8666399230769,0.0,True
2022-01-24 11:00:00,1935.1178363143767,99.9708475862069,0.0,True
2022-01-24 11:30:00,1930.4112337264582,100.03408124137931,0.0,True
2022-01-24 12:00:00,1984.0952055904386,99.9856977777778,0.0,True
2022-01-24 12:30:00,1936.8018292628637,99.91427029629628,3.0164558025,True
2022-01-24 14:30:00,1981.4207919188061,100.466394,6.032911605,True
2022-01-24 15:30:00,1925.860088682021,100.61576193103447,9.0493674075,True
2022-01-24 16:30:00,1927.5398733471816,101.70433139999999,12.06582321,True
2022-01-24 17:00:00,2149.5860571083244,104.38340469565216,18.463428666666665,True
2022-01-24 17:30:00,2235.352292997802,105.61168177777779,16.41193659259259,True
2022-01-24 18:00:00,2179.602014403834,105.49604638461543,14.360444518518516,True
2022-01-24 20:00:00,2156.387278107522,105.64064622222224,12.308952444444442,True
2022-01-24 20:30:00,2156.213824800822,105.65342827586207,10.25746037037037,True
2022-01-24 21:00:00,2109.8342300637914,105.49472150000001,8.205968296296295,True
2022-01-24 21:30:00,2186.4438233400565,105.75546592592592,6.154476222222221,True
2022-01-24 22:00:00,2120.963871391815,105.83717433333335,4.102984148148147,True
2022-01-24 23:30:00,2132.2703242845187,105.80472753846155,2.0514920740740736,True
2022-01-25 00:00:00,2139.208929828692,105.9823744,0.0,True
2022-01-25 00:30:00,2115.402538610189,105.59869007692306,0.0,True
2022-01-25 01:30:00,2110.555622034322,105.42330792,0.0,True
2022-01-25 06:00:00,2133.3891931978183,105.48370728,0.0,True
2022-01-25 07:00:00,2108.4708954559483,105.33458417391302,0.0,True
2022-01-25 07:30:00,2123.437062442618,105.01771917241383,4.4641156,True
2022-01-25 08:00:00,2137.3852648788907,105.49389303703707,8.9282312,True
2022-01-25 08:30:00,2125.2654519766907,105.58857904,13.3923468,True
2022-01-25 09:00:00,2110.4660252878675,105.40489960000001,17.8564624,True
2022-01-25 09:30:00,2148.6457172751943,80.68121813779999,37.277828326666665,True
2022-01-25 10:00:00,2112.843317384213,40.5111388444,39.18265269333334,True
2022-01-25 10:30:00,2124.0484316236743,0.341059551,39.28503656,True
2022-01-25 11:00:00,2117.0499774660148,0.3047605225,46.052864946666666,True
2022-01-25 11:30:00,2113.889945106314,0.268461494,49.04515807333334,True
2022-01-25 12:00:00,2113.4763265774723,0.2440270805,64.19254669333333,True
2022-01-25 12:30:00,2133.6537599468843,0.219592667,90.72469037333333,True
2022-01-25 13:30:00,2133.5016768678806,0.197577359,96.22011452666665,True
2022-01-25 14:30:00,2107.551950563533,0.19504891,102.82467066666666,True
2022-01-25 15:00:00,2119.400541128269,0.18285785699999998,87.54647491333336,True
2022-01-25 15:30:00,2148.7194241330353,0.170666804,80.76352120666668,True
2022-01-25 16:00:00,2145.857554515563,0.182823606,78.43793514666667,True
2022-01-25 16:30:00,2117.1141141437406,0.194980408,87.12733708000002,True
2022-01-25 17:00:00,2116.71948029922,0.1950153939999999,98.22915601333331,True
2022-01-25 17:30:00,2154.865413347932,0.19505038000000002,98.70253455999999,True
2022-01-25 18:00:00,2120.889264871562,0.182858592,99.56437138666666,True
2022-01-25 18:30:00,2125.3493382522556,0.170666804,95.57160736666665,True
2022-01-25 19:30:00,2110.678645609321,0.16500328599999992,95.32220194000001,True
2022-01-25 20:00:00,2125.4620212257937,0.1674636984999999,94.38955717333333,True
2022-01-25 20:30:00,2111.093715788435,0.169924111,99.21256543333335,True
2022-01-25 21:00:00,2085.0646272104727,0.1702954085,94.20364006666667,True
2022-01-25 21:30:00,2088.8789807878275,0.170666706,97.56495742,True
2022-01-25 22:30:00,2071.806341332554,0.170666804,94.67249591333332,True
2022-01-25 23:00:00,2138.410040258624,0.17071389299999998,103.30471386666669,True
2022-01-25 23:30:00,2109.3546610596322,0.170760982,102.67576979333337,True
2022-01-26 00:30:00,2107.690508001385,0.195048812,86.10060904666665,True
2022-01-26 01:30:00,2101.4993000000004,0.1950626299999999,85.25595390666665,True
2022-01-26 02:00:00,2056.929691522123,0.1950557699999999,84.58722477333333,True
2022-01-26 02:30:00,2079.8288921041367,0.19504891,87.50279239333334,True
2022-01-26 03:30:00,2102.020884740791,0.170666804,83.12857840000001,True
2022-01-26 04:00:00,2081.3000222208925,0.1657507565,81.73169881333332,True
2022-01-26 04:30:00,2099.594766666667,0.160834709,80.22930916,True
2022-01-26 05:30:00,2095.1015614902294,0.146284698,80.00429005333332,True
2022-01-26 06:00:00,2055.136196138271,0.157883733,79.49533848666667,True
